,0
0,6307.751282051282
1,6355.806259820173
2,6328.861236973786
3,6343.916212896851
4,6299.971186974118
5,6301.0261585903645
6,6298.081127130406
7,6287.136091979103
8,6285.191052521374
9,6283.246008142203
10,6276.300958226647
11,6288.355902159848
12,6283.410839327042
13,6285.465769113565
14,6295.520690904871
15,6290.575604086529
16,6305.630508044243
17,6294.685402163854
18,6294.740285831354
19,6286.795158432896
20,6292.850019354797
21,6286.904867983553
22,6291.959703705848
23,6284.014525908561
24,6298.069333978775
25,6296.12412730379
26,6305.178905271128
27,6297.233667268546
28,6285.288412684043
29,6283.343140905868
30,6281.397851322533
31,6269.45254332282
32,6334.507216295792
33,6279.561869630798
34,6323.616502717488
35,6298.671114945819
36,6293.725705706063
37,6274.7802743888205
38,6316.834820385025
39,6291.889343085956
40,6305.943841883247
41,6285.998316168893
42,6290.052765335264
43,6303.107188775108
44,6287.161585881566
45,6295.215956048178
46,6314.270298668895
47,6313.324613138083
48,6331.378898850538
49,6309.433155201493
50,6293.487381586625
51,6314.541577402068
52,6310.595742044417
53,6315.649874910746
54,6312.703975398606
55,6294.7580429060445
56,6283.812076831605
57,6290.866076574344
58,6304.920041533836
59,6297.9739711101865
60,6298.027864704034
61,6304.081721716566
62,6303.1355415495245
63,6293.189323605218
64,6273.243067286526
65,6288.296771996913
66,6289.350437140433
67,6301.404062121744
68,6308.457646346111
69,6296.511189219419
70,6284.564690148181
71,6316.618148539548
72,6299.671563801315
73,6274.724935341932
74,6298.778262570515
75,6315.831544896851
76,6317.884781731408
77,6308.937972485349
78,6309.9911165705325
79,6308.044213399527
80,6306.097262385618
81,6332.150262942819
82,6330.203214485878
83,6299.256116430287
84,6298.308968192291
85,6301.361769188898
86,6307.414518837885
87,6289.467216557812
88,6328.5198617680235
89,6310.5724538886625
90,6317.62499234068
91,6300.67747654584
92,6297.729905926732
93,6299.782279906774
94,6314.8345979102305
95,6298.886859362211
96,6319.939063688687
97,6324.991210316496
98,6297.043298673352
99,6303.095328187853
100,6330.14729828949
101,6291.199208408658
102,6287.25105797666
103,6302.302846425721
104,6286.354573188993
105,6305.406237700563
106,6313.457839395465
107,6310.509377709686
108,6300.560852080174
109,6325.6122619448515
110,6301.663606742615
111,6311.714885913352
112,6320.766098897948
113,6321.817245138288
114,6298.868324077275
115,6311.919335158833
116,6311.9702778279125
117,6301.021151530507
118,6318.0719557136545
119,6305.122689825449
120,6310.173353315048
121,6323.223945632681
122,6326.274466229658
123,6308.324914558378
124,6306.375290072336
125,6311.425592226134
126,6307.475820475484
127,6311.525974277226
128,6326.576053089323
129,6317.626056370882
130,6334.675983582152
131,6323.725834184541
132,6329.775607640615
133,6317.8253034141135
134,6312.874920969956
135,6318.924459774249
136,6303.973919294291
137,6311.023298998587
138,6324.072598356854
139,6312.121816840025
140,6304.170953920262
141,6320.220009070966
142,6311.268981766774
143,6334.317871483583
144,6321.366677698542
145,6305.41539989007
146,6299.464037537864
147,6317.5125901228985
148,6292.561057127443
149,6333.609438035063
150,6300.657732330635
151,6320.705939500343
152,6324.7540590317
153,6303.802090413546
154,6302.850033136055
155,6334.897886690752
156,6303.945650570513
157,6317.993324269573
158,6312.040907283539
159,6339.088399109391
160,6299.135799245493
161,6308.183107191601
162,6302.23032244887
163,6328.27744451986
164,6309.324472908547
165,6315.371407120326
166,6330.418246662022
167,6325.464991041898
168,6299.511639769657
169,6316.558192356457
170,6310.604648314911
171,6300.651007159102
172,6328.697268404582
173,6322.743431568388
174,6323.78949616904
175,6354.835461726558
176,6315.881327762461
177,6343.927093799782
178,6321.972759363064
179,6315.018323978382
180,6322.063787173335
181,6327.109148477067
182,6328.154407420263
183,6339.199563535162
184,6322.244616355563
185,6304.289565416832
186,6308.3344102559095
187,6295.379150411313
188,6350.423785423152
189,6328.46831483313
190,6319.51273818455
191,6317.557055022326
192,6329.601264892984
193,6323.645367344677
194,6319.689361927184
195,6323.73324819192
196,6314.777025691945
197,6313.820693981964
198,6312.864252618342
199,6322.907701159106
200,6301.951039163952
201,6314.994266194252
202,6320.037381813062
203,6313.080385585125
204,6330.123277076884
205,6315.166055856479
206,6316.208721493764
207,6326.251273560306
208,6308.293711629394
209,6303.3360352760465
210,6310.3782440770165
211,6310.420337610797
212,6305.46231545763
213,6308.504177199512
214,6310.545922420198
215,6330.587550705209
216,6334.629061641841
217,6321.670454819168
218,6336.711729828049
219,6306.752886261133
220,6330.79392371287
221,6316.8348417795105
222,6332.875640059115
223,6316.9163181515605
224,6331.956875658546
225,6311.9973121835965
226,6331.0376273320735
227,6301.077820711176
228,6335.117891929949
229,6311.1578405992905
230,6311.197666331954
231,6342.237368742555
232,6320.276947447582
233,6336.316402065395
234,6317.355732216234
235,6317.39493752223
